t,B,N
-0.237977,0.217559,0.005263
-0.087449,0.221052,0.006588
-0.110411,0.220178,0.004787
0.004399,0.222799,0.003886
0.065630,0.222002,0.008282
0.055425,0.221002,0.006588
0.055425,0.221002,0.005316
0.157478,0.223733,0.004893
0.208504,0.229006,0.009448
0.208504,0.229006,0.008000
0.208504,0.229006,0.006729
0.208504,0.229006,0.005846
0.320762,0.228474,0.010825
0.371789,0.234877,0.008706
0.348827,0.231996,0.007117
0.463636,0.236601,0.012202
0.463636,0.236601,0.010684
0.514663,0.238305,0.009130
0.575894,0.241215,0.013367
0.626921,0.242865,0.011249
0.642229,0.237708,0.009766
0.718768,0.244040,0.014745
0.718768,0.244040,0.013226
0.769795,0.245622,0.011672
0.831026,0.249266,0.015910
0.882053,0.250711,0.013791
0.871848,0.249203,0.012096
0.973900,0.251978,0.017075
0.973900,0.251978,0.015627
1.024927,0.254266,0.014109
1.086158,0.257067,0.018452
1.137185,0.258567,0.016334
1.126979,0.256703,0.014921
1.239238,0.261978,0.019724
1.229032,0.260622,0.018029
1.280059,0.262094,0.016616
1.392317,0.266628,0.021419
1.382111,0.264803,0.019724
1.382111,0.264803,0.018452
1.382111,0.264803,0.017464
1.545396,0.271475,0.022690
1.535191,0.269967,0.020995
1.535191,0.269967,0.019724
1.484164,0.262429,0.018452
1.698475,0.276180,0.023961
1.688270,0.274848,0.022266
1.688270,0.274848,0.020995
1.637243,0.268189,0.020147
1.841349,0.279509,0.025338
1.841349,0.279509,0.023820
1.854106,0.273483,0.022372
1.815836,0.276180,0.021419
1.953607,0.283897,0.026504
2.004633,0.285502,0.024385
1.943402,0.277511,0.023114
2.106686,0.288355,0.027775
2.096481,0.286569,0.026080
2.147507,0.288123,0.024809
2.259765,0.293129,0.029046
2.249560,0.291798,0.027351
2.249560,0.291798,0.026080
2.412845,0.290729,0.030317
2.402639,0.288325,0.028622
2.402639,0.288325,0.027351
2.351613,0.289898,0.026504
2.565924,0.298124,0.031588
2.555718,0.296994,0.029893
2.555718,0.296994,0.028622
2.504692,0.291344,0.027775
2.719003,0.301429,0.032860
2.708798,0.300061,0.031165
2.708798,0.300061,0.029964
2.657771,0.303590,0.029046
2.872082,0.311244,0.034131
2.861877,0.309909,0.032436
2.861877,0.309909,0.031306
2.810850,0.307446,0.030529
3.025161,0.310391,0.035402
3.014956,0.309096,0.033707
3.014956,0.309096,0.032577
2.963930,0.307718,0.031800
3.178240,0.320089,0.036673
3.168035,0.319814,0.034978
3.168035,0.319814,0.033848
3.117009,0.317475,0.033072
3.331320,0.321345,0.037945
3.321114,0.320158,0.036250
3.321114,0.320158,0.035049
3.270088,0.314226,0.034343
3.484399,0.328312,0.039216
3.474194,0.327029,0.037521
3.474194,0.327029,0.036250
3.423167,0.320612,0.035402
3.637478,0.332548,0.040318
3.627273,0.331255,0.038651
3.627273,0.331255,0.037450
3.576246,0.331260,0.036673
3.790557,0.332842,0.041335
3.780352,0.331788,0.039640
3.780352,0.331788,0.038510
3.729326,0.326514,0.037733
3.943636,0.337871,0.042606
3.933431,0.336684,0.040911
3.933431,0.336684,0.039781
3.882405,0.330752,0.039004
4.096716,0.344854,0.043708
4.086510,0.344057,0.042041
4.086510,0.344057,0.040911
4.035484,0.340074,0.040275
4.249795,0.345244,0.044725
4.239589,0.343888,0.043030
4.239589,0.343888,0.041900
4.188563,0.348125,0.041123
4.402874,0.349058,0.045996
4.392669,0.347702,0.044301
4.392669,0.347702,0.043171
4.341642,0.348125,0.042394
4.555953,0.351233,0.046843
4.545748,0.349467,0.045148
4.532991,0.354817,0.043930
4.709032,0.355047,0.048114
4.698827,0.353281,0.046419
4.698827,0.353281,0.045289
4.647801,0.352010,0.044513
4.862111,0.364400,0.048962
4.851906,0.362971,0.047267
4.839150,0.361184,0.046049
5.015191,0.362109,0.050064
5.004985,0.360308,0.048397
5.004985,0.360308,0.047338
4.953959,0.362714,0.046631
5.168270,0.371906,0.051081
5.158065,0.371686,0.049386
5.145308,0.371410,0.048114
5.323900,0.372470,0.052246
5.311144,0.371431,0.050798
5.311144,0.371431,0.049492
5.260117,0.371996,0.048750
5.474428,0.379011,0.053030
5.464223,0.378820,0.051363
5.464223,0.378820,0.050304
5.413196,0.376893,0.049598
5.627507,0.375330,0.054047
5.617302,0.374398,0.052352
5.604545,0.379235,0.051134
5.780587,0.383144,0.054894
5.770381,0.382402,0.053199
5.757625,0.381474,0.052034
5.936217,0.388891,0.056060
5.923460,0.388054,0.054612
5.923460,0.388054,0.053305
5.872434,0.383450,0.052564
6.089296,0.389335,0.056907
6.076540,0.388546,0.055459
6.066334,0.387915,0.054047
6.242375,0.389758,0.057755
